ExportDate;EquipmentID;Timestamp;Sensor_2;Sensor_3;Sensor_4;Sensor_7;Sensor_11;HealthScore;AnomalyFlag;WorkOrder;MaintenanceCost
2026/07/01;ENG-003;2026-07-01 08:21:00;503.779;500.326;481.392;532.622;502.519;0.778;0;WO457256;911.80
2026/07/01;ENG-001;2026-07-01 07:31:00;557.739;500.428;440.211;504.229;526.319;;0;WO356736;1876.82
2026/07/01;eng-002;2026-07-01 14:19:00;525.932;494.516;533.319;507.717;462.930;0.818;0;WO855917;1504.72
01-Jul-2026;ENG-004;2026-07-01 12:15:00;496.135;453.678;497.169;458.101;482.514;;0;WO447329;932.74
2026-07-01;ENG-003;2026-07-01 06:59:00;459.574;515.599;499.617;507.205;530.565;1.000;0;WO172132;77.48
2026-07-01;  ENG-001 ;2026-07-01 14:02:00;521.823;522.325;541.458;435.887;528.267;0.575;0;WO999636;1454.22
2026-07-01;ENG-005;2026-07-01 08:12:00;506.201;472.107;489.923;437.611;509.443;1.000;0;WO118080;302.56
2026-07-01;ENG-005;2026-07-01 06:23:00;452.515;464.781;457.996;538.882;555.575;0.736;0;WO916449;363.91
2026-07-01;ENG-004;2026-07-01 07:01:00;446.062;474.895;455.752;517.013;492.222;0.861;0;WO377312;1,854.45
2026-07-01;ENG-002;2026-07-01 12:36:00;547.510;550.856;541.657;500.869;512.883;0.786;0;WO336633;2,802.42
2026/07/01;eng-001;2026-07-01 06:38:00;523.999;516.014;540.603;471.493;515.236;0.990;0;WO179046;2411.75
01-Jul-2026;ENG-004;2026-07-01 15:20:00;532.515;483.438;592.406;433.337;571.824;1.000;0;WO102593;2318.21
01-Jul-2026;ENG-001;2026-07-01 09:15:00;464.775;508.968;571.420;505.027;525.486;0.972;0;WO892280;2506.87
01-Jul-2026;ENG-001;2026-07-01 10:17:00;507.328;472.656;521.000;480.802;530.457;0.641;0;WO635280;1335.25
01-Jul-2026;  ENG-005 ;2026-07-01 14:15:00;529.810;440.427;535.835;491.937;449.416;0.923;0;WO354533;1,007.07
01-Jul-2026;ENG-004;2026-07-01 12:47:00;561.254;551.735;503.016;589.200;571.279;0.837;0;WO772464;2623.26
2026-07-01;  ENG-004 ;2026-07-01 11:47:00;508.357;511.020;490.192;449.022;537.946;0.946;0;WO530749;1138.29
2026/07/01;ENG-002;2026-07-01 08:02:00;542.408;498.495;538.349;418.950;436.400;0.908;0;WO915573;1713.71
01-Jul-2026;ENG-003;2026-07-01 11:39:00;505.520;482.114;475.525;549.365;542.673;0.652;0;WO505785;456.20
2026/07/01;ENG-004;2026-07-01 12:53:00;498.367;407.196;513.235;539.311;501.688;0.644;0;WO379963;2,024.30
2026-07-01;  ENG-001 ;2026-07-01 06:00:00;505.021;497.057;449.862;491.433;494.526;0.863;0;WO343962;708.47
2026-07-01;  ENG-005 ;2026-07-01 09:24:00;552.836;454.904;548.886;497.009;539.065;0.508;0;WO489518;91.06
2026-07-01;ENG-003;2026-07-01 15:25:00;458.160;480.057;505.176;527.017;466.342;;0;WO548580;185.53
2026/07/01;  ENG-002 ;2026-07-01 12:13:00;545.294;483.625;429.671;477.450;497.247;0.788;0;WO246570;1525.23
01-Jul-2026;ENG-002;2026-07-01 13:44:00;495.283;479.096;441.211;476.437;517.893;0.807;0;WO396809;2998.74
2026-07-01;ENG-004;2026-07-01 10:14:00;462.151;478.942;474.499;413.879;558.502;1.000;0;WO748151;1748.49
01-Jul-2026;eng-002;2026-07-01 10:52:00;489.566;507.062;603.600;518.555;415.420;0.963;0;WO811256;2269.55
2026/07/01;ENG-004;2026-07-01 15:39:00;512.855;535.744;530.623;459.260;472.712;0.703;0;WO478638;2,698.84
2026-07-01;  ENG-001 ;2026-07-01 12:58:00;537.661;485.749;538.217;415.065;498.655;0.708;0;WO426084;747.09
2026-07-01;  ENG-004 ;2026-07-01 12:25:00;548.399;534.462;504.120;535.561;549.883;0.883;0;WO912617;143.13
2026/07/01;ENG-001;2026-07-01 15:28:00;500.311;495.210;501.722;488.752;516.874;0.925;0;WO827744;441.46
2026-07-01;ENG-005;2026-07-01 14:35:00;524.076;516.534;490.138;500.657;559.129;1.000;0;WO742439;
01-Jul-2026;ENG-004;2026-07-01 14:12:00;517.346;501.323;481.470;536.246;522.148;0.685;0;WO637333;65.33
01-Jul-2026;eng-003;2026-07-01 06:28:00;501.394;502.968;551.694;557.118;530.823;0.633;0;WO897549;1,120.79
2026/07/01;ENG-004;2026-07-01 11:08:00;442.352;438.531;480.537;480.874;496.628;0.427;1;WO415779;1,259.89
2026/07/01;ENG-005;2026-07-01 06:02:00;521.161;522.539;535.349;495.147;527.429;0.548;0;WO207175;870.66
01-Jul-2026;ENG-003;2026-07-01 14:50:00;462.947;522.780;553.926;448.168;539.902;0.298;1;WO571413;6,410.90
2026/07/01;ENG-002;2026-07-01 07:06:00;553.970;528.597;462.117;499.384;587.409;0.686;0;WO765095;2,166.96
2026/07/01;ENG-001;2026-07-01 13:28:00;519.722;476.109;516.843;516.308;578.179;0.466;0;WO628373;2,623.03
01-Jul-2026;ENG-001;2026-07-01 12:00:00;534.737;475.601;558.818;492.127;420.960;0.822;0;WO237118;1420.10
2026/07/01;ENG-004;2026-07-01 09:34:00;487.892;574.905;475.950;549.379;535.571;0.855;0;WO776149;2,086.33
01-Jul-2026;ENG-004;2026-07-01 14:21:00;521.232;441.984;554.556;460.507;515.573;0.840;0;WO782661;2,849.03
2026/07/01;ENG-005;2026-07-01 08:49:00;461.200;502.762;539.210;525.422;467.653;0.734;0;WO595951;2801.91
01-Jul-2026;ENG-001;2026-07-01 13:49:00;593.247;509.593;527.284;472.802;487.245;0.692;0;WO818113;1758.47
01-Jul-2026;eng-005;2026-07-01 07:57:00;485.690;497.728;535.549;465.162;510.193;0.681;0;WO391773;1314.41
01-Jul-2026;ENG-002;2026-07-01 12:26:00;493.990;490.381;522.716;531.178;480.793;0.491;0;WO909489;2994.46
2026-07-01;ENG-004;2026-07-01 09:43:00;497.674;400.414;526.879;542.381;517.035;0.286;1;WO819425;1849.43
2026-07-01;ENG-001;2026-07-01 08:25:00;463.607;542.283;559.546;516.024;494.696;0.800;0;WO685181;268.54
2026/07/01;ENG-004;2026-07-01 14:10:00;550.285;490.988;485.666;447.419;451.477;0.751;0;WO186023;1,157.51
2026-07-01;ENG-005;2026-07-01 10:23:00;456.418;535.218;497.013;534.293;493.675;0.732;0;WO591699;2,776.26
2026/07/01;  ENG-004 ;2026-07-01 13:09:00;503.107;491.874;512.033;593.351;496.552;0.720;0;WO595002;
01-Jul-2026;ENG-004;2026-07-01 15:34:00;522.279;473.818;509.915;517.494;486.709;0.646;0;WO865470;2257.39
2026/07/01;ENG-003;2026-07-01 13:33:00;467.799;536.527;546.043;506.119;533.260;0.446;1;WO720407;20604.86
2026/07/01;ENG-003;2026-07-01 12:20:00;438.451;494.310;558.126;551.769;490.816;0.804;0;WO153849;2,079.73
01-Jul-2026;eng-005;2026-07-01 12:29:00;509.970;533.137;494.305;493.385;526.449;0.270;1;WO432441;7551.95
2026/07/01;ENG-001;2026-07-01 06:43:00;547.569;514.020;480.366;472.372;502.499;1.000;0;WO161483;2,516.28
2026/07/01;ENG-003;2026-07-01 10:56:00;453.442;506.911;479.290;499.999;557.269;0.757;0;WO681478;1285.05
01-Jul-2026;ENG-003;2026-07-01 10:44:00;503.930;471.435;502.470;510.406;512.194;0.874;0;WO206053;2855.95
2026-07-01;ENG-003;2026-07-01 06:47:00;468.751;550.935;498.535;495.425;477.257;1.000;0;WO161324;891.49
2026-07-01;ENG-005;2026-07-01 13:59:00;503.884;572.842;507.876;466.712;435.639;0.692;0;WO212214;2180.47
2026-07-01;  ENG-002 ;2026-07-01 14:58:00;515.781;480.903;517.114;459.469;453.733;0.650;0;WO281649;1195.97
2026-07-01;ENG-001;2026-07-01 15:51:00;584.774;453.854;547.998;545.514;453.596;0.949;0;WO130782;1592.87
2026-07-01;ENG-003;2026-07-01 12:10:00;494.869;560.275;495.862;579.790;573.814;0.654;0;WO933510;1537.55
01-Jul-2026;ENG-001;2026-07-01 10:31:00;522.637;399.390;499.136;430.488;522.333;0.408;1;WO849014;16574.47
2026-07-01;ENG-002;2026-07-01 12:36:00;547.510;550.856;541.657;500.869;512.883;0.786;0;WO336633;2,802.42
2026/07/01;ENG-002;2026-07-01 07:29:00;477.534;517.384;568.029;472.350;478.086;0.606;0;WO808446;1666.41
2026-07-01;  ENG-002 ;2026-07-01 14:52:00;561.408;517.849;481.460;479.671;539.294;0.670;0;WO613261;2398.22
01-Jul-2026;  ENG-001 ;2026-07-01 14:48:00;523.408;497.914;491.708;489.372;516.052;0.463;0;WO876459;990.78
01-Jul-2026;  ENG-002 ;2026-07-01 11:36:00;493.510;563.347;528.475;473.765;529.261;0.816;0;WO734487;1842.34
2026/07/01;eng-003;2026-07-01 15:49:00;438.611;517.676;490.941;489.755;491.273;0.628;0;WO790017;2,547.08
01-Jul-2026;  ENG-005 ;2026-07-01 10:26:00;516.452;477.665;524.166;432.334;413.142;0.921;0;WO722937;965.70
2026-07-01;ENG-004;2026-07-01 08:06:00;543.445;455.336;489.077;440.416;525.530;0.818;0;WO993085;1968.85
01-Jul-2026;  ENG-003 ;2026-07-01 09:10:00;509.089;472.282;525.586;482.374;559.450;;0;WO970357;2,998.15
2026/07/01;ENG-001;2026-07-01 09:36:00;476.512;493.189;495.236;506.848;470.908;1.000;0;WO692002;320.44
2026/07/01;ENG-005;2026-07-01 14:05:00;558.366;452.389;479.766;535.178;451.223;0.926;0;WO502491;2,471.66
01-Jul-2026;  ENG-001 ;2026-07-01 09:01:00;512.137;449.310;489.945;506.446;476.449;0.692;0;WO501126;1,107.47
01-Jul-2026;  ENG-005 ;2026-07-01 16:04:00;470.067;445.063;485.325;498.068;494.792;0.729;0;WO895794;68.81
01-Jul-2026;ENG-002;2026-07-01 10:39:00;446.959;490.099;518.426;471.675;407.242;0.369;1;WO651963;8291.88
