ExportDate;EquipmentID;Cycle;Timestamp;Sensor_2;Sensor_3;Sensor_4;Sensor_7;Sensor_8;Sensor_9;Sensor_11;Sensor_12;Sensor_13;Sensor_14;Sensor_15;Sensor_17;LatentZ1;LatentZ2;NearestDistance;PredictedStatus;WorkOrder;MaintenanceCost
02-Jul-2026;  ENG-055 ;70;2026-01-03 22:00:00;642.5400;1589.5200;1404.5300;554.1800;2388.1100;9056.1300;47.3600;522.4400;2388.0700;8137.1100;8.4697;393.0000;0.040994;-0.551552;0.001665;HEALTHY;WO985082;1589.70
2026-07-02;  ENG-093 ;106;2026-01-05 10:00:00;642.9400;1587.4200;1405.7300;553.7500;2388.0800;9057.5000;47.6400;521.5100;2388.1100;8140.5700;8.4492;393.0000;0.062416;0.009089;0.002764;Healthy;WO350981;2993.48
2026-07-02;  ENG-012 ;141;2026-01-06 21:00:00;642.7600;1582.8100;1398.5200;553.7200;2388.0500;9053.4500;47.2100;521.8100;2388.0300;8139.3700;8.4114;392.0000;0.016408;-0.852045;0.001674;Healthy;WO704789;1599.55
02-Jul-2026;ENG-019;55;2026-01-03 07:00:00;642.1500;1580.5900;1390.7700;554.5000;2388.0200;9058.9000;47.2500;522.3700;2388.0400;8132.4200;8.3873;392.0000;0.024052;-1.160010;0.000846;Healthy;WO334756;654.10
2026/07/02;ENG-061;61;2026-01-03 13:00:00;642.1400;1588.5600;1402.3200;554.5700;2388.0500;9065.9900;47.3300;522.1800;2388.0500;8149.4600;8.4310;392.0000;0.040389;-0.797827;0.002847;Healthy;WO881548;
2026-07-02;  ENG-078 ;42;2026-01-02 18:00:00;642.1000;1575.2100;1391.2300;554.7600;2387.9300;9063.1300;47.2300;522.4600;2387.9800;8146.7300;8.3904;390.0000;0.069929;-1.364747;0.006348;Healthy;WO149252;2573.01
2026/07/02;ENG-031;81;2026-01-04 09:00:00;642.1400;1586.3200;1403.2400;553.5400;2388.0500;9066.5300;47.4800;521.8300;2388.0100;8149.0500;8.4371;391.0000;0.057575;-0.748508;;healthy;WO971868;2,052.39
2026/07/02;ENG-007;66;2026-01-03 18:00:00;641.8700;1582.2800;1396.6500;554.2600;2388.0700;9054.9100;47.3600;521.6200;2388.0100;8144.4100;8.3947;392.0000;0.036839;-1.051580;0.000000;Healthy;WO134950;2236.17
2026/07/02;eng-055;43;2026-01-02 19:00:00;642.3000;1584.1000;1401.2100;553.8100;2388.0600;9056.4100;47.3600;521.8900;2388.0700;8138.0900;8.4398;391.0000;0.027072;-0.733670;0.002354;Healthy;WO570387;418.49
2026-07-02;ENG-014;18;2026-01-01 18:00:00;642.5400;1586.3600;1410.6600;553.6200;2388.1500;9035.3600;47.6700;520.9500;2388.1800;8118.1400;8.4765;393.0000;-0.075406;0.304181;0.015084;Healthy;WO385949;2596.89
2026-07-02;ENG-096;63;2026-01-03 15:00:00;641.9000;1584.3000;1398.6800;555.0600;2388.0200;9066.6800;47.1100;522.1400;2387.9600;8150.9700;8.4368;391.0000;0.058291;-1.200514;0.002466;Healthy;WO333850;2,219.80
02-Jul-2026;  ENG-091 ;85;2026-01-04 13:00:00;643.6200;1592.6800;1406.6300;552.2700;2388.1200;9053.6600;47.5200;521.2300;2388.1500;8121.7300;8.4348;393.0000;-0.007024;0.386875;0.002522;Healthy;WO230302;752.39
2026/07/02;eng-025;18;2026-01-01 18:00:00;641.9900;1586.7600;1408.1900;553.1800;2388.1100;9048.8900;47.4200;521.6200;2388.1400;8134.9300;8.3924;391.0000;0.030596;-0.299438;0.001851;Healthy;WO531342;561.90
02-Jul-2026;ENG-021;96;2026-01-05 00:00:00;642.4100;1585.0700;1402.7300;553.5000;2388.0700;9052.9100;47.2000;522.1700;2388.0100;8145.0800;8.4245;393.0000;0.036176;-0.784344;0.001691;Healthy;WO214387;229.68
2026/07/02;ENG-093;93;2026-01-04 21:00:00;642.9100;1600.3800;1408.6800;552.7600;2388.0900;9060.4400;47.5500;520.8600;2388.1500;8136.0200;8.4070;393.0000;0.041176;0.259710;0.002965;Warning;WO329597;11,177.05
02-Jul-2026;eng-092;71;2026-01-03 23:00:00;642.7900;1587.8600;1417.5500;552.7100;2388.1800;9042.3400;47.7200;521.4400;2388.1200;8117.9500;8.4218;391.0000;-0.029528;0.177648;0.002686;Healthy;WO815152;1064.99
2026-07-02;ENG-060;97;2026-01-05 01:00:00;642.8600;1588.9900;1405.5900;554.3500;2388.1100;9052.9000;47.5700;521.6100;2388.1300;8129.0800;8.4649;393.0000;0.019011;0.021009;0.001957;Healthy;WO632170;970.58
2026/07/02;ENG-012;82;2026-01-04 10:00:00;642.0800;1579.7700;1396.9700;554.2200;2388.0200;9049.8400;47.3300;522.3600;2387.9300;8143.1200;8.3569;392.0000;0.049058;-1.152889;0.001424;Healthy;WO317125;1,193.83
2026-07-02;  ENG-031 ;72;2026-01-04 00:00:00;642.9600;1588.0100;1405.4000;553.8600;2388.0500;9071.6200;47.3900;522.0000;2387.9700;8147.3500;8.4151;391.0000;0.067397;-0.552806;0.002735;Healthy;WO241298;208.73
2026-07-02;ENG-008;90;2026-01-04 18:00:00;642.8300;1595.4800;1408.3500;553.6400;2388.1000;9048.7400;47.7400;521.1100;2388.1000;8126.0700;8.4592;392.0000;0.023368;0.042007;0.002600;Healthy;WO450894;1574.65
2026-07-02;ENG-050;45;2026-01-02 21:00:00;642.2800;1588.6000;1399.9000;554.0700;2388.0700;9060.4300;47.3300;521.8100;2388.0500;8142.8400;8.3939;395.0000;0.038294;-0.529348;0.002163;Healthy;WO801687;1573.77
02-Jul-2026;ENG-053;106;2026-01-05 10:00:00;641.9100;1596.5100;1394.3100;553.3800;2388.0600;9063.8500;47.4700;521.7600;2388.0300;8143.5400;8.4285;394.0000;0.065494;-0.446637;0.003361;healthy;WO828724;2,361.92
02-Jul-2026;ENG-061;92;2026-01-04 20:00:00;642.3700;1588.6600;1402.0100;553.9100;2388.0400;9066.1000;47.2300;521.7400;2388.0700;8145.4200;8.4218;391.0000;0.029806;-0.803018;0.002184;Healthy;WO895068;2843.62
2026/07/02;ENG-089;69;2026-01-03 21:00:00;642.2300;1590.7400;1409.3500;553.8900;2388.1200;9053.1400;47.4800;521.3900;2388.1400;8125.2000;8.4125;393.0000;0.021900;-0.217407;0.001796;Healthy;WO748840;
2026/07/02;  ENG-046 ;52;2026-01-03 04:00:00;642.0000;1587.2800;1408.3100;552.6600;2388.0700;9068.6600;47.4300;522.3300;2388.1500;8145.3000;8.4296;393.0000;0.073203;-0.291032;0.001942;Healthy;WO744909;2,312.03
02-Jul-2026;ENG-049;144;2026-01-07 00:00:00;642.3500;1588.6700;1399.0000;553.7900;2388.0500;9053.1600;47.1700;522.6700;2388.0200;8140.9300;8.4003;392.0000;0.037797;-0.903729;0.002028;Healthy;WO436587;2480.41
02-Jul-2026;ENG-092;78;2026-01-04 06:00:00;643.2300;1589.7500;1406.8000;552.5300;2388.1200;9036.9400;47.7000;521.2800;2388.1700;8122.5200;8.4401;393.0000;-0.030468;0.307356;0.002394;Healthy;WO168901;2,175.69
2026-07-02;  ENG-090 ;77;2026-01-04 05:00:00;642.4200;1587.6700;1406.7300;554.0600;2388.0800;9055.3600;47.5500;521.2700;2388.1200;8133.0100;8.4277;393.0000;0.035593;-0.275361;0.001018;Healthy;WO498629;2,063.65
2026/07/02;  ENG-073 ;64;2026-01-03 16:00:00;642.8200;1590.7200;1394.5800;553.9800;2388.0600;9049.0900;47.3200;522.4900;2388.0100;8133.4200;8.3634;392.0000;0.025084;-0.906825;0.001424;healthy;WO149131;396.75
