ExportDate;EquipmentID;Cycle;Timestamp;Sensor_2;Sensor_3;Sensor_4;Sensor_7;Sensor_8;Sensor_9;Sensor_11;Sensor_12;Sensor_13;Sensor_14;Sensor_15;Sensor_17;LatentZ1;LatentZ2;NearestDistance;PredictedStatus;WorkOrder;MaintenanceCost
01-Jul-2026;  ENG-088 ;1;2026-01-01 01:00:00;642.4500;1594.7000;1405.7900;554.0600;2388.0700;9038.4800;47.4400;521.7800;2388.1300;8120.5000;8.4205;394.0000;0.023248;-0.241691;0.002650;Healthy;WO737077;1264.39
2026-07-01;ENG-016;25;2026-01-02 01:00:00;642.0000;1586.8400;1392.2900;554.4100;2388.0100;9053.5700;47.1700;522.6300;2388.0100;8132.4400;8.4128;391.0000;0.044667;-1.176785;0.001245;Healthy;WO440881;1488.11
2026/07/01;ENG-057;11;2026-01-01 11:00:00;642.4500;1595.1800;1399.2800;553.1100;2388.0700;9048.2700;47.3800;521.3300;2388.0900;8130.1700;8.4451;392.0000;0.047258;-0.257486;0.001221;Healthy;WO188198;2,422.34
01-Jul-2026;ENG-023;26;2026-01-02 02:00:00;642.0600;1584.2500;1398.9000;554.7700;2388.1100;9048.7300;47.0500;522.6900;2387.9800;8135.2800;8.3741;394.0000;0.032098;-1.116517;0.000846;Healthy;WO870883;561.76
2026-07-01;ENG-099;24;2026-01-02 00:00:00;642.3200;1584.2100;1397.9800;554.6000;2388.0000;9056.0000;47.1000;522.9900;2387.9800;8139.6300;8.4200;392.0000;0.051254;-1.150454;0.003010;Healthy;WO964916;1298.81
2026/07/01;ENG-099;31;2026-01-02 07:00:00;641.2600;1583.1100;1403.0800;554.9500;2387.9700;9058.0100;47.2400;522.4000;2388.0000;8137.0700;8.3876;392.0000;0.033396;-1.215017;0.001953;Healthy;WO503187;422.63
2026-07-01;ENG-029;41;2026-01-02 17:00:00;642.3300;1592.0100;1407.9600;554.5000;2388.0700;9055.5700;47.2600;521.7700;2388.0700;8136.6300;8.4255;392.0000;0.035789;-0.385804;0.001709;Healthy;WO177971;818.99
01-Jul-2026;ENG-046;7;2026-01-01 07:00:00;642.0100;1583.9700;1404.7200;553.0400;2388.0300;9069.5400;47.3300;521.8500;2388.0200;8148.1800;8.4345;394.0000;0.056269;-0.715812;0.002762;healthy;WO690672;2107.86
2026-07-01;ENG-030;13;2026-01-01 13:00:00;642.5200;1591.3900;1408.1800;553.3500;2388.0900;9043.8900;47.4300;521.6000;2388.1300;8126.6700;8.4028;392.0000;0.030500;-0.288338;0.002862;Healthy;WO519300;2774.51
01-Jul-2026;ENG-045;43;2026-01-02 19:00:00;642.5600;1580.6200;1408.7500;553.3900;2388.0700;9060.7300;47.4700;521.5400;2388.0700;8139.7600;8.4435;393.0000;0.059458;-0.191712;0.001548;Healthy;WO364802;1160.86
2026-07-01;ENG-031;52;2026-01-03 04:00:00;642.0900;1588.2400;1401.7600;554.2600;2388.0400;9065.9100;47.3700;522.3700;2388.0200;8153.6300;8.4095;391.0000;0.065542;-0.878699;0.003164;Healthy;WO726134;2182.03
