ExportDate;EquipmentID;Cycle;Timestamp;Sensor_2;Sensor_3;Sensor_4;Sensor_7;Sensor_8;Sensor_9;Sensor_11;Sensor_12;Sensor_13;Sensor_14;Sensor_15;Sensor_17;LatentZ1;LatentZ2;NearestDistance;PredictedStatus;WorkOrder;MaintenanceCost
03-Jul-2026;ENG-051;144;2026-01-07 00:00:00;642.5600;1585.0800;1406.6000;553.5800;2388.1000;9053.3700;47.5000;521.2500;2388.1200;8127.6100;8.4577;394.0000;0.014952;0.010567;0.000193;Healthy;WO184148;2002.29
03-Jul-2026;ENG-015;76;2026-01-04 04:00:00;642.4900;1589.2100;1400.6100;554.0800;2388.1000;9056.1000;47.2500;522.1200;2388.1100;8139.7500;8.4067;392.0000;0.013968;-0.842792;0.003555;Healthy;WO624369;
2026-07-03;ENG-071;68;2026-01-03 20:00:00;642.5200;1585.4500;1400.9700;553.1700;2388.0100;9068.5300;47.3500;522.4200;2388.0800;8146.1900;8.4386;391.0000;0.059131;-0.677301;0.002578;Healthy;WO612356;1943.00
2026-07-03;ENG-042;156;2026-01-07 12:00:00;643.3100;1599.5500;1425.1200;550.9400;2388.2700;9026.8900;47.8900;520.5400;2388.2700;8118.4500;8.4792;395.0000;-0.844384;1.494515;0.000691;Warning;WO823821;22,970.36
03-Jul-2026;ENG-085;34;2026-01-02 10:00:00;642.5800;1582.9400;1413.2200;553.5500;2388.0700;9045.2300;47.7300;521.4300;2388.0900;8126.6000;8.4228;393.0000;0.016991;-0.059872;0.001621;Healthy;WO822794;1527.34
2026/07/03;  ENG-040 ;133;2026-01-06 13:00:00;643.2000;1603.1500;1420.4800;552.5700;2388.1700;9066.4500;47.8400;520.4100;2388.1700;8143.0700;8.4700;396.0000;-0.173061;1.258236;0.008221;Warning;WO379963;8107.09
2026/07/03;ENG-012;217;2026-01-10 01:00:00;642.5900;1595.9000;1409.6400;553.3600;2388.0400;9074.2400;47.3700;522.0300;2388.0200;8155.7400;8.4482;393.0000;0.109496;-0.156641;0.006661;Healthy;WO483713;
2026/07/03;  ENG-016 ;113;2026-01-05 17:00:00;642.9900;1587.0300;1401.0000;554.6000;2388.0800;9059.7500;47.3700;521.7700;2388.0800;8147.4000;8.4299;391.0000;0.038963;-0.478538;0.002046;Healthy;WO579187;2,684.74
2026-07-03;ENG-037;121;2026-01-06 01:00:00;643.3400;1593.1500;1413.3800;552.5600;2388.1800;9041.7100;47.6900;520.6900;2388.1500;8119.0700;8.4944;394.0000;-0.145408;0.751285;0.004658;WARNING;WO270387;16488.51
2026/07/03;  ENG-003 ;126;2026-01-06 06:00:00;642.8800;1589.7500;1418.8900;552.5900;2388.1600;9049.2600;47.8800;520.8300;2388.1400;8131.4600;8.4119;395.0000;-0.038364;0.494889;0.002894;Warning;WO377511;19360.41
