ExportDate,EquipmentID,Cycle,Timestamp,Sensor_2,Sensor_3,Sensor_4,Sensor_7,Sensor_8,Sensor_9,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_17,LatentZ1,LatentZ2,NearestDistance,PredictedStatus,IsWarning,WorkOrder,MaintenanceCost
2026-07-01,ENG-001,1,2026-01-01 01:00:00,643.02,1585.29,1398.21,553.9,2388.04,9050.17,47.2,521.72,2388.03,8125.55,8.4052,392.0,-0.00164,-0.701201,0.002955,Healthy,0,WO246316,2046.26
2026-07-01,ENG-001,2,2026-01-01 02:00:00,641.71,1588.45,1395.42,554.85,2388.01,9054.42,47.5,522.16,2388.06,8139.62,8.3803,393.0,0.017508,-1.023522,0.002674,Healthy,0,WO343962,128.28
2026-07-01,ENG-001,3,2026-01-01 03:00:00,642.46,1586.94,1401.34,554.11,2388.05,9056.96,47.5,521.97,2388.03,8130.1,8.4441,393.0,0.033018,-0.645864,0.001554,Healthy,0,WO391704,69.17
2026-07-01,ENG-001,4,2026-01-01 04:00:00,642.44,1584.12,1406.42,554.07,2388.03,9045.29,47.28,521.38,2388.05,8132.9,8.3917,391.0,-0.001188,-0.772504,0.003521,Healthy,0,WO900581,323.6
2026-07-01,ENG-001,5,2026-01-01 05:00:00,642.51,1587.19,1401.92,554.16,2388.01,9044.55,47.31,522.15,2388.03,8129.54,8.4031,390.0,0.01503,-0.973113,0.001269,Healthy,0,WO662275,2770.77
2026-07-01,ENG-001,6,2026-01-01 06:00:00,642.11,1579.12,1395.13,554.22,2388.0,9050.96,47.26,521.92,2388.08,8127.46,8.4238,392.0,-0.000709,-0.966094,0.004004,Healthy,0,WO705397,255.19
2026-07-01,ENG-001,7,2026-01-01 07:00:00,642.11,1583.34,1404.84,553.89,2388.05,9051.39,47.31,522.01,2388.06,8134.97,8.3914,391.0,0.002295,-0.869019,0.001007,Healthy,0,WO498591,1925.27
2026-07-01,ENG-001,8,2026-01-01 08:00:00,642.54,1580.89,1400.89,553.59,2388.05,9052.86,47.21,522.09,2388.06,8125.93,8.4213,393.0,0.006022,-0.751929,0.002316,Healthy,0,WO816751,1846.94
2026-07-01,ENG-001,9,2026-01-01 09:00:00,641.88,1593.29,1412.28,554.49,2388.06,9048.55,47.37,522.03,2388.05,8134.15,8.4353,391.0,0.020904,-0.768254,0.00302,Healthy,0,WO771088,697.86
2026-07-01,ENG-001,10,2026-01-01 10:00:00,642.07,1585.25,1398.64,554.28,2388.04,9051.95,47.14,522.0,2388.06,8134.08,8.4093,391.0,0.002177,-0.990844,0.004158,Healthy,0,WO380746,
2026-07-01,ENG-001,11,2026-01-01 11:00:00,642.04,1581.03,1403.83,554.69,2388.04,9051.67,47.23,521.95,2388.06,8132.38,8.3919,391.0,0.001429,-1.045432,0.001092,Healthy,0,WO514850,1946.41
2026-07-01,ENG-002,1,2026-01-01 01:00:00,642.66,1589.3,1407.16,553.14,2388.1,9040.2,47.43,521.62,2388.14,8129.59,8.4283,392.0,0.029169,-0.271784,0.001221,Healthy,0,WO712982,1771.42
2026-07-01,ENG-002,2,2026-01-01 02:00:00,642.51,1588.43,1405.47,553.53,2388.07,9053.77,47.45,522.02,2388.08,8120.05,8.4414,393.0,0.039257,-0.24647,0.00157,Warning,1,WO214975,4671.56
2026-07-01,ENG-002,3,2026-01-01 03:00:00,642.58,1595.6,1410.86,553.34,2388.13,9036.57,47.45,521.29,2388.08,8126.75,8.3804,394.0,0.020425,-0.175309,0.000494,Healthy,0,WO654816,1682.02
2026-07-01,ENG-002,4,2026-01-01 04:00:00,642.31,1583.43,1408.23,554.15,2388.14,9047.06,47.42,521.57,2388.06,8129.91,8.4342,393.0,0.009998,-0.437347,0.001309,Healthy,0,WO379786,1053.52
2026-07-01,ENG-002,5,2026-01-01 05:00:00,642.77,1585.03,1407.6,553.98,2388.13,9043.96,47.47,521.59,2388.11,8127.01,8.4247,392.0,0.015634,-0.269833,8.6e-05,Healthy,0,WO376183,2297.79
2026-07-01,ENG-002,6,2026-01-01 06:00:00,642.5,1579.87,1402.27,553.79,2388.11,9042.51,47.6,521.8,2388.06,8128.82,8.4182,392.0,0.024732,-0.361196,0.001525,Healthy,0,WO738551,1153.05
2026-07-01,ENG-002,7,2026-01-01 07:00:00,642.63,1594.28,1405.38,553.56,2388.14,9050.22,47.52,520.97,2388.07,8127.07,8.4113,393.0,0.024987,-0.143587,0.002807,Healthy,0,WO217301,2642.23
2026-07-01,ENG-002,8,2026-01-01 08:00:00,642.61,1583.23,1404.58,553.16,2388.07,9050.66,47.41,521.72,2388.15,8134.66,8.443,391.0,0.043015,-0.204018,0.00219,Healthy,0,WO182582,1483.67
2026-07-01,ENG-002,9,2026-01-01 09:00:00,642.28,1588.74,1407.54,553.25,2388.09,9051.36,47.47,521.48,2388.08,8131.51,8.4459,392.0,0.046633,-0.080835,0.002283,Warning,1,WO676510,13569.71
2026-07-01,ENG-002,10,2026-01-01 10:00:00,642.53,1590.87,1406.04,553.45,2388.12,9053.96,47.47,521.09,2388.1,8123.71,8.4211,392.0,0.034703,-0.15104,0.002181,Warning,1,WO847581,24882.61
2026-07-01,ENG-002,11,2026-01-01 11:00:00,642.57,1594.61,1407.53,553.65,2388.08,9044.28,47.37,521.25,2388.12,8124.59,8.3784,392.0,0.016681,-0.254411,0.00172,Healthy,0,WO167136,1785.51
2026-07-01,ENG-002,12,2026-01-01 12:00:00,642.7,1599.04,1412.05,553.66,2388.12,9051.27,47.64,521.43,2388.08,8130.06,8.3877,392.0,0.03333,0.042066,0.003083,Healthy,0,WO170674,2585.92
2026-07-01,ENG-002,13,2026-01-01 13:00:00,642.35,1583.94,1402.56,553.64,2388.13,9044.51,47.39,521.3,2388.1,8128.62,8.4313,393.0,0.016892,-0.300862,0.006176,Healthy,0,WO858490,1734.58
2026-07-01,ENG-002,14,2026-01-01 14:00:00,642.46,1589.62,1402.63,552.55,2388.17,9047.88,47.53,522.15,2388.04,8127.22,8.4346,393.0,0.054902,-0.218092,0.00179,Warning,1,WO551989,10748.68
2026-07-01,ENG-002,15,2026-01-01 15:00:00,642.33,1582.15,1398.72,553.47,2388.1,9042.9,47.65,521.55,2388.15,8124.9,8.429,394.0,0.018779,-0.288904,0.005863,Healthy,0,WO522179,2411.75
2026-07-01,ENG-002,16,2026-01-01 16:00:00,642.54,1588.49,1401.46,554.01,2388.15,9046.42,47.32,521.59,2388.12,8128.06,8.4817,393.0,0.02233,-0.206089,0.000841,Healthy,0,WO392075,2629.73
2026-07-01,ENG-002,17,2026-01-01 17:00:00,641.91,1583.24,1408.27,554.54,2388.05,9047.39,47.53,521.39,2388.07,8132.92,8.4357,392.0,0.027249,-0.344607,0.003121,Healthy,0,WO115474,2782.78
2026-07-01,ENG-003,1,2026-01-01 01:00:00,642.03,1589.92,1408.39,553.4,2388.07,9053.65,47.71,522.2,2388.13,8131.17,8.433,392.0,0.062287,-0.284392,0.000592,Healthy,0,WO161483,56.36
2026-07-01,ENG-003,2,2026-01-01 02:00:00,642.23,1597.31,1407.9,553.74,2388.11,9041.49,47.44,521.19,2388.08,8132.69,8.4183,393.0,0.030028,-0.102423,0.000501,Healthy,0,WO921414,2169.3
2026-07-01,ENG-003,3,2026-01-01 03:00:00,642.98,1586.77,1407.58,553.23,2388.06,9053.39,47.4,521.92,2388.09,8131.29,8.4017,391.0,0.033412,-0.350413,0.001088,Healthy,0,WO163918,218.64
2026-07-01,ENG-003,4,2026-01-01 04:00:00,642.42,1590.52,1401.42,553.31,2388.08,9051.03,47.66,521.59,2388.09,8134.41,8.4398,395.0,0.048944,-0.028328,0.000287,Healthy,0,WO632496,598.18
2026-07-01,ENG-003,5,2026-01-01 05:00:00,642.48,1583.09,1405.87,553.61,2388.16,9054.7,47.54,521.37,2388.09,8135.05,8.454,392.0,0.036476,-0.096169,0.00228,Healthy,0,WO697347,1803.83
2026-07-01,ENG-003,6,2026-01-01 06:00:00,642.58,1589.1,1406.66,553.73,2388.1,9053.51,47.3,521.93,2388.1,8132.28,8.4054,394.0,0.032078,-0.325731,0.001092,Healthy,0,WO373432,2162.77
2026-07-01,ENG-003,7,2026-01-01 07:00:00,642.64,1592.23,1397.15,553.32,2388.06,9057.38,47.63,521.79,2388.09,8127.39,8.4439,392.0,0.057811,-0.27392,0.001242,Healthy,0,WO888387,77.48
2026-07-01,ENG-003,8,2026-01-01 08:00:00,642.68,1588.26,1407.24,553.56,2388.09,9042.62,47.5,521.81,2388.08,8131.73,8.4626,393.0,0.044356,-0.130448,0.000343,Healthy,0,WO378082,1079.58
2026-07-01,ENG-003,9,2026-01-01 09:00:00,642.55,1591.62,1403.38,553.08,2388.15,9045.07,47.52,521.28,2388.08,8136.76,8.4392,394.0,0.028314,0.059702,0.000573,Healthy,0,WO837715,2952.37
2026-07-01,ENG-003,10,2026-01-01 10:00:00,642.18,1596.44,1408.66,553.77,2388.09,9055.09,47.55,521.73,2388.11,8133.48,8.4405,392.0,0.058501,-0.183646,0.001444,Healthy,0,WO795613,2640.47
2026-07-01,ENG-003,11,2026-01-01 11:00:00,642.36,1589.27,1404.58,553.44,2388.12,9054.78,47.53,521.47,2388.04,8137.15,8.463,394.0,0.066167,-0.18269,0.001368,Healthy,0,WO320861,650.61
2026-07-01,ENG-003,12,2026-01-01 12:00:00,642.94,1594.87,1406.67,553.55,2388.15,9057.97,47.31,521.78,2388.13,8131.48,8.4391,392.0,0.045551,-0.125158,0.001874,Healthy,0,WO153266,1299.55
2026-07-01,ENG-003,13,2026-01-01 13:00:00,642.48,1588.36,1410.26,553.42,2388.09,9049.54,47.55,521.43,2388.11,8130.1,8.4479,394.0,0.016828,0.05707,0.003067,Healthy,0,WO269430,1677.46
2026-07-01,ENG-003,14,2026-01-01 14:00:00,642.67,1593.0,1404.23,554.39,2388.12,9058.86,47.45,521.67,2388.11,8132.05,8.4252,393.0,0.049309,-0.071307,0.002522,Healthy,0,WO256294,2512.06
2026-07-01,ENG-003,15,2026-01-01 15:00:00,642.44,1586.67,1407.25,553.18,2388.13,9051.94,47.53,521.36,2388.11,8131.3,8.45,396.0,0.009771,0.116997,0.001403,Healthy,0,WO934794,167.69
2026-07-01,ENG-003,16,2026-01-01 16:00:00,642.38,1592.5,1400.05,553.44,2388.08,9050.6,47.53,520.93,2388.1,8127.71,8.4246,393.0,0.03654,-0.205802,0.000982,Warning,1,WO526117,18937.36
2026-07-01,ENG-003,17,2026-01-01 17:00:00,642.83,1588.45,1405.4,553.81,2388.07,9051.43,47.59,521.58,2388.15,8128.93,8.4287,392.0,0.038309,-0.166879,0.00272,Healthy,0,WO532322,
2026-07-01,ENG-003,18,2026-01-01 18:00:00,642.61,1581.11,1409.15,553.79,2388.1,9049.56,47.61,521.2,2388.08,8135.06,8.3918,393.0,0.029641,-0.07718,0.002014,Healthy,0,WO802448,2441.71
2026-07-01,ENG-003,19,2026-01-01 19:00:00,642.92,1587.4,1410.35,553.94,2388.13,9050.03,47.57,521.28,2388.09,8136.31,8.4564,393.0,0.029893,0.007021,0.001861,Healthy,0,WO333238,2759.43
2026-07-01,ENG-003,20,2026-01-01 20:00:00,642.28,1588.87,1410.34,553.36,2388.09,9053.85,47.59,521.58,2388.13,8133.81,8.4204,394.0,0.045482,-0.037178,0.002637,Healthy,0,WO392136,2902.32
2026-07-01,ENG-003,21,2026-01-01 21:00:00,642.38,1586.06,1406.87,552.7,2388.12,9055.01,47.53,521.67,2388.08,8131.69,8.4211,394.0,0.058547,-0.145069,0.000788,Healthy,0,WO447235,390.26
2026-07-01,ENG-003,22,2026-01-01 22:00:00,642.68,1586.63,1402.35,553.01,2388.11,9051.59,47.57,521.59,2388.17,8131.85,8.4427,392.0,0.047247,-0.064525,0.002431,Healthy,0,WO725550,2199.21
2026-07-01,ENG-003,23,2026-01-01 23:00:00,642.68,1588.75,1406.58,553.08,2388.13,9061.14,47.44,521.35,2388.13,8126.12,8.4685,395.0,0.017145,0.150985,0.002831,Healthy,0,WO299312,2140.92
2026-07-01,ENG-003,24,2026-01-02 00:00:00,642.77,1591.61,1401.64,553.6,2388.1,9051.33,47.43,521.74,2388.12,8134.28,8.4284,392.0,0.039349,-0.243993,0.000592,Healthy,0,WO306606,256.42
2026-07-01,ENG-003,25,2026-01-02 01:00:00,642.52,1594.78,1407.93,552.86,2388.1,9055.62,47.69,521.53,2388.14,8133.84,8.4647,394.0,0.034038,0.258543,0.0013,Healthy,0,WO414910,2017.33
2026-07-01,ENG-003,26,2026-01-02 02:00:00,642.61,1588.91,1401.57,553.76,2388.15,9050.23,47.46,521.21,2388.09,8129.94,8.4526,394.0,0.02875,-0.129335,0.002974,Healthy,0,WO497562,2713.28
2026-07-01,ENG-003,27,2026-01-02 03:00:00,642.91,1586.55,1406.9,553.06,2388.14,9046.59,47.58,521.62,2388.11,8135.43,8.4141,393.0,0.04597,-0.038585,0.001532,Healthy,0,WO320392,1760.96
2026-07-01,ENG-003,28,2026-01-02 04:00:00,642.68,1586.87,1404.55,553.3,2388.13,9054.83,47.6,522.16,2388.08,8130.71,8.4349,393.0,0.059208,-0.214439,0.001179,Healthy,0,WO932291,2398.27
2026-07-01,ENG-003,29,2026-01-02 05:00:00,642.93,1586.1,1410.46,553.36,2388.1,9061.25,47.46,521.33,2388.08,8137.46,8.4154,394.0,0.05562,-0.073893,0.000884,Healthy,0,WO197923,2265.86
2026-07-01,ENG-003,30,2026-01-02 06:00:00,643.44,1589.93,1409.81,553.94,2388.1,9058.13,47.57,520.83,2388.09,8134.51,8.438,395.0,-0.001738,0.313867,0.000889,Healthy,0,WO598216,2317.04
2026-07-01,ENG-003,31,2026-01-02 07:00:00,643.28,1585.97,1410.98,553.21,2388.08,9050.18,47.59,521.27,2388.1,8134.51,8.4581,394.0,0.023217,0.166917,0.002163,Healthy,0,WO519066,1985.37
2026-07-01,ENG-003,32,2026-01-02 08:00:00,642.66,1586.34,1405.97,553.3,2388.11,9054.94,47.58,521.75,2388.05,8130.2,8.427,392.0,0.052246,-0.228717,0.003853,Healthy,0,WO829716,198.14
2026-07-01,ENG-003,33,2026-01-02 09:00:00,643.39,1596.15,1417.42,553.15,2388.11,9055.79,47.54,521.43,2388.15,8134.88,8.4398,393.0,0.015737,0.41244,0.001739,Healthy,0,WO686075,2852.62
2026-07-01,ENG-003,34,2026-01-02 10:00:00,642.47,1584.06,1413.43,553.63,2388.13,9061.97,47.69,521.15,2388.14,8124.43,8.4408,394.0,-0.01709,0.221947,0.002364,Healthy,0,WO674485,519.52
2026-07-01,ENG-003,35,2026-01-02 11:00:00,642.56,1589.74,1407.48,553.68,2388.05,9046.35,47.41,521.38,2388.14,8132.54,8.4572,393.0,0.038792,-0.067681,0.00113,Healthy,0,WO903013,1479.56
2026-07-01,ENG-003,36,2026-01-02 12:00:00,642.43,1593.83,1403.73,553.17,2388.15,9054.11,47.55,521.24,2388.09,8132.01,8.4606,392.0,0.029205,0.085443,0.004576,Healthy,0,WO435239,287.7
2026-07-01,ENG-003,37,2026-01-02 13:00:00,642.14,1585.67,1407.71,553.26,2388.09,9046.7,47.53,521.38,2388.11,8131.82,8.4322,393.0,0.033093,-0.092888,0.000442,Healthy,0,WO527398,1424.48
