unit,cycle,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,1,-0.0002,0.0004,100.0,518.67,642.79,1592.83,1411.19,14.62,21.61,553.17,2388.07,9040.78,1.3,47.48,521.14,2388.12,8125.79,8.4546,0.03,393,2388,100.0,38.98,23.3009
1,2,0.0012,-0.0003,100.0,518.67,642.83,1582.69,1402.79,14.62,21.61,553.0,2388.11,9038.28,1.3,47.5,521.19,2388.18,8130.7,8.4249,0.03,392,2388,100.0,38.89,23.4054
1,3,0.0008,-0.0002,100.0,518.67,642.01,1597.21,1405.74,14.62,21.61,553.63,2388.13,9045.94,1.3,47.49,522.22,2388.09,8117.99,8.44,0.03,392,2388,100.0,38.91,23.1532
1,4,0.0016,-0.0005,100.0,518.67,641.9,1584.56,1411.38,14.62,21.61,553.73,2388.11,9042.67,1.3,47.61,520.95,2388.14,8119.93,8.4468,0.03,394,2388,100.0,38.9,23.2544
1,5,0.0019,0.0003,100.0,518.67,642.33,1589.14,1402.37,14.62,21.61,553.26,2388.16,9039.48,1.3,47.49,521.65,2388.13,8114.44,8.4178,0.03,394,2388,100.0,38.9,23.324
1,6,-0.0003,-0.0,100.0,518.67,642.03,1584.66,1408.5,14.62,21.61,553.48,2388.14,9045.66,1.3,47.5,521.36,2388.12,8124.47,8.4487,0.03,392,2388,100.0,38.84,23.3559
1,7,0.0019,-0.0002,100.0,518.67,642.37,1593.92,1401.73,14.62,21.61,553.05,2388.12,9045.24,1.3,47.23,521.78,2388.13,8124.5,8.4456,0.03,392,2388,100.0,39.03,23.3141
1,8,0.0,0.0004,100.0,518.67,642.4,1591.22,1407.13,14.62,21.61,553.57,2388.15,9047.28,1.3,47.51,520.79,2388.1,8116.1,8.4409,0.03,393,2388,100.0,38.79,23.2175
1,9,-0.0001,0.0,100.0,518.67,642.12,1594.87,1401.57,14.62,21.61,553.6,2388.11,9036.63,1.3,47.56,521.6,2388.14,8123.4,8.4569,0.03,394,2388,100.0,38.77,23.342
1,10,-0.002,0.0003,100.0,518.67,642.85,1588.54,1402.71,14.62,21.61,553.76,2388.14,9047.06,1.3,47.49,521.87,2388.12,8126.37,8.4116,0.03,394,2388,100.0,38.79,23.3783
1,11,-0.0003,-0.0005,100.0,518.67,642.24,1594.53,1407.54,14.62,21.61,553.46,2388.17,9044.63,1.3,47.49,521.3,2388.1,8125.27,8.4486,0.03,394,2388,100.0,38.92,23.1996
1,12,-0.0001,-0.0001,100.0,518.67,642.68,1588.45,1405.67,14.62,21.61,553.41,2388.11,9043.57,1.3,47.51,521.67,2388.08,8120.27,8.4339,0.03,392,2388,100.0,38.83,23.3052
1,13,-0.0042,-0.0,100.0,518.67,642.25,1587.68,1407.06,14.62,21.61,553.47,2388.13,9040.84,1.3,47.38,521.45,2388.12,8124.17,8.4061,0.03,391,2388,100.0,38.76,23.2639
1,14,0.0031,0.0001,100.0,518.67,642.58,1584.63,1409.31,14.62,21.61,553.59,2388.06,9042.59,1.3,47.37,520.97,2388.2,8120.6,8.4463,0.03,393,2388,100.0,38.93,23.2516
1,15,-0.0006,0.0003,100.0,518.67,643.25,1588.49,1404.2,14.62,21.61,554.0,2388.12,9038.27,1.3,47.33,521.36,2388.15,8123.13,8.4213,0.03,392,2388,100.0,38.77,23.2448
1,16,-0.0023,-0.0002,100.0,518.67,642.59,1586.95,1401.22,14.62,21.61,553.36,2388.14,9049.69,1.3,47.52,521.77,2388.09,8127.11,8.4159,0.03,393,2388,100.0,38.92,23.4016
1,17,0.0015,-0.0001,100.0,518.67,642.93,1586.76,1399.38,14.62,21.61,553.58,2388.09,9042.77,1.3,47.47,521.56,2388.09,8121.1,8.4036,0.03,393,2388,100.0,38.87,23.3945
1,18,-0.0039,0.0001,100.0,518.67,642.67,1588.54,1414.43,14.62,21.61,552.55,2388.06,9046.64,1.3,47.44,521.57,2388.09,8120.51,8.4174,0.03,393,2388,100.0,38.99,23.2883
1,19,-0.0005,-0.0005,100.0,518.67,642.52,1580.55,1409.16,14.62,21.61,554.26,2388.12,9044.88,1.3,47.65,521.09,2388.17,8123.97,8.4254,0.03,394,2388,100.0,39.0,23.2651
1,20,-0.0046,0.0002,100.0,518.67,642.86,1589.2,1403.66,14.62,21.61,553.05,2388.13,9044.48,1.3,47.57,522.19,2388.11,8125.5,8.4296,0.03,393,2388,100.0,39.0,23.3089
1,21,-0.0024,-0.0004,100.0,518.67,642.69,1584.4,1407.68,14.62,21.61,553.07,2388.14,9045.89,1.3,47.44,521.68,2388.1,8124.26,8.4078,0.03,392,2388,100.0,38.83,23.3465
1,22,0.0013,0.0003,100.0,518.67,642.97,1582.0,1405.08,14.62,21.61,553.65,2388.13,9039.7,1.3,47.21,521.18,2388.09,8128.07,8.3961,0.03,394,2388,100.0,38.74,23.3067
1,23,-0.0002,0.0004,100.0,518.67,642.54,1590.52,1405.56,14.62,21.61,554.35,2388.15,9033.9,1.3,47.54,521.1,2388.15,8122.35,8.4358,0.03,393,2388,100.0,38.88,23.3701
1,24,0.0026,-0.0002,100.0,518.67,642.45,1586.81,1409.4,14.62,21.61,553.37,2388.1,9039.15,1.3,47.45,521.36,2388.1,8121.05,8.4107,0.03,393,2388,100.0,38.96,23.2913
1,25,0.0025,0.0003,100.0,518.67,642.2,1592.27,1401.71,14.62,21.61,554.18,2388.12,9042.94,1.3,47.47,521.68,2388.07,8121.36,8.4074,0.03,393,2388,100.0,38.87,23.3735
